[7.803807764327586, 26.671624017917967];{'ATPM': 0, 'ECOAH7': 0, 'RNTR1c2': 0, 'PGI': 0}
[7.769716913008861, 26.680773177510382];{'ATPM': 0, 'FADRx': 0, 'POR5': 0, 'PGI': 0}
[8.492304641108673, 26.331588588449282];{'RNTR1c2': 0, 'ATPM': 0, 'FADRx': 0, 'ECOAH7': 0}
[8.509830903966568, 26.32295733020989];{'FADRx': 0, 'ATPM': 0, 'RNTR1c2': 0}
[7.164453214079776, 26.978478320361916];{'FE3abcpp': 0, 'ECOAH7': 0, 'RNTR1c2': 0}
[7.91021993596602, 26.614621679512904];{'ATPM': 0, 'RNTR1c2': 0, 'ACACT1r': 0, 'GLUDy': 0}
[7.941049647381167, 26.5998035589596];{'ACACT5r': 0, 'ATPM': 0, 'FADRx': 0, 'RNTR1c2': 0, 'GLUDy': 0}
[6.310710339013346, 27.37613263531039];{'RNTR1c2': 0, 'CBMKr': 0, 'ECOAH7': 0, 'PGI': 0}
[7.8096256994125435, 26.66189977090458];{'ATPM': 0, 'ECOAH7': 0, 'POR5': 0, 'PGI': 0}
[8.065677253204045, 26.539708852453685];{'FE3abcpp': 0, 'GLUDy': 0, 'ATPM': 0, 'RNTR1c2': 0}
[6.6839400862298906, 27.200456159367576];{'CBMKr': 0, 'RNTR1c2': 0, 'GLUDy': 0}
[6.580389983811295, 27.247766729520855];{'3HAD120': 0, 'ACACT5r': 0, 'FADRx': 0, 'RNTR1c2': 0, 'GLUDy': 0}
[8.348880600592794, 26.401976896018812];{'ATPM': 0, 'CBMKr': 0, 'FADRx': 0, 'RNTR1c2': 0, 'HACD4': 0}
[7.164776271325443, 26.97832770100504];{'ECOAH7': 0, 'RNTR1c2': 0}
[6.342482263558521, 27.35543676276415];{'FADRx': 0, 'POR5': 0, 'PGI': 0}
[8.403830589870182, 26.37506032246985];{'ACACT1r': 0, 'FADRx': 0, 'ATPM': 0, 'RNTR1c2': 0}
[7.763968385033696, 26.69066159718884];{'PGI': 0, 'FADRx': 0, 'ATPM': 0, 'RNTR1c2': 0}
[7.267705355372549, 26.917332385433664];{'ATPM': 0, 'ACACT5r': 0, 'PGI': 0, 'GLUDy': 0}
[8.40385542801532, 26.375048141467424];{'RNTR1c2': 0, 'ATPM': 0, 'ACOAD1fr': 0}
[6.691656821184874, 27.196923165865478];{'FADRx': 0, 'RNTR1c2': 0, 'GLUDy': 0}
